ID=7d6d3566-5a65-484a-aad0-5af9af38a36e | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:16.356 | ÚltimaExecução=00:35:16.483
ID=7bca7ee1-1d51-44db-bc9e-aa608745a658 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:16.881 | ÚltimaExecução=00:35:17.008
ID=6480fc44-0f14-4227-ad0d-c86bc1d9a70e | Reentradas=1 | Latência=1131ms | Status=sfSucesso | Entrada=00:34:58.005 | ÚltimaExecução=00:35:06.265
ID=e9bf8792-09f0-4d61-9ca8-89369e160a3b | Reentradas=0 | Latência=225ms | Status=sfSucesso | Entrada=00:34:42.272 | ÚltimaExecução=00:34:42.497
ID=e77032c4-d6ff-442d-aadb-a05c2af15f67 | Reentradas=3 | Latência=147ms | Status=sfSucesso | Entrada=00:34:50.714 | ÚltimaExecução=00:35:08.337
ID=d3c9ee02-2d12-44fe-bf10-4e129ea8b64c | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:23.569 | ÚltimaExecução=00:35:23.697
ID=1d154d93-86c1-4233-9496-05d5d976252c | Reentradas=0 | Latência=128ms | Status=sfSucesso | Entrada=00:34:35.612 | ÚltimaExecução=00:34:35.740
ID=36e2a79b-b54e-46b7-858b-5270c2eabcee | Reentradas=0 | Latência=2127ms | Status=sfSucesso | Entrada=00:35:03.810 | ÚltimaExecução=00:35:05.936
ID=f3db01a9-fdf7-4575-8cbf-f48c47473cce | Reentradas=0 | Latência=150ms | Status=sfSucesso | Entrada=00:35:15.097 | ÚltimaExecução=00:35:15.247
ID=16ac93db-343d-46ed-9c03-7d416def2a21 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:34:35.015 | ÚltimaExecução=00:34:35.143
ID=02dbbb55-c24b-4f49-82e9-3063367ebdb4 | Reentradas=0 | Latência=230ms | Status=sfSucesso | Entrada=00:34:36.617 | ÚltimaExecução=00:34:36.848
ID=cefde6f0-d02a-4f24-8b16-ab236f1864bb | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:18.397 | ÚltimaExecução=00:35:18.524
ID=a0d0c574-b544-4cc8-98f3-90e3975a0d3e | Reentradas=1 | Latência=147ms | Status=sfSucesso | Entrada=00:35:00.450 | ÚltimaExecução=00:35:07.726
ID=bac82347-2fba-42f1-afeb-1ddba65467c9 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:19.626 | ÚltimaExecução=00:35:19.753
ID=a170cddc-5875-4cd0-8c6e-ccb62d4dcb70 | Reentradas=0 | Latência=230ms | Status=sfSucesso | Entrada=00:34:38.031 | ÚltimaExecução=00:34:38.262
ID=65aa381a-c1cd-42fc-a5a5-e263cb4c463c | Reentradas=1 | Latência=128ms | Status=sfSucesso | Entrada=00:34:47.341 | ÚltimaExecução=00:34:52.696
ID=f94c3132-df26-4f5a-bd5f-a73c183631e6 | Reentradas=1 | Latência=127ms | Status=sfSucesso | Entrada=00:34:48.704 | ÚltimaExecução=00:34:54.062
ID=3743dfd9-86e5-4964-8430-afa391112341 | Reentradas=2 | Latência=147ms | Status=sfSucesso | Entrada=00:34:54.985 | ÚltimaExecução=00:35:06.487
ID=627c52d2-ae76-4632-a695-b3c6398962b6 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:16.102 | ÚltimaExecução=00:35:16.229
ID=f4be741d-6109-44c8-81ea-b09b87a5a4c1 | Reentradas=0 | Latência=126ms | Status=sfSucesso | Entrada=00:35:21.637 | ÚltimaExecução=00:35:21.764
ID=56dbf88c-f831-47f0-8d1c-6c6b5dcb92e9 | Reentradas=0 | Latência=128ms | Status=sfSucesso | Entrada=00:35:24.156 | ÚltimaExecução=00:35:24.283
ID=87c7955d-57a0-4522-a1fa-2f51328e979c | Reentradas=0 | Latência=148ms | Status=sfSucesso | Entrada=00:35:07.306 | ÚltimaExecução=00:35:07.453
ID=78ff3206-c81e-4c6c-834c-427d9200b3da | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:16.982 | ÚltimaExecução=00:35:17.109
ID=8fe239ad-4954-4060-83a2-9cfe81c57213 | Reentradas=0 | Latência=133ms | Status=sfSucesso | Entrada=00:35:17.108 | ÚltimaExecução=00:35:17.241
ID=19eaceaa-8244-4b19-bc26-e03ba3d60ee7 | Reentradas=0 | Latência=126ms | Status=sfSucesso | Entrada=00:35:17.376 | ÚltimaExecução=00:35:17.503
ID=bd8ae8d0-60cc-47f2-bcd7-01f219f004b3 | Reentradas=0 | Latência=128ms | Status=sfSucesso | Entrada=00:35:21.415 | ÚltimaExecução=00:35:21.543
ID=5243f8f5-8169-4652-9ef3-0744b0fa7d00 | Reentradas=10 | Latência=53442ms | Status=sfDescartado | Entrada=00:35:05.044 | ÚltimaExecução=00:35:58.486
ID=e88c1dbd-600d-4b66-bd41-ef993e42322d | Reentradas=0 | Latência=230ms | Status=sfSucesso | Entrada=00:34:39.252 | ÚltimaExecução=00:34:39.482
ID=1eafebd3-25e6-4ee0-aa73-9df3546ee68b | Reentradas=0 | Latência=131ms | Status=sfSucesso | Entrada=00:34:33.999 | ÚltimaExecução=00:34:34.129
ID=e3d22faa-3933-4e4e-8bda-50832e91aa17 | Reentradas=3 | Latência=152ms | Status=sfSucesso | Entrada=00:34:52.974 | ÚltimaExecução=00:35:10.604
ID=3716c92f-a9bc-4e25-b52d-673090f9f880 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:23.013 | ÚltimaExecução=00:35:23.141
ID=1950ce89-e81d-4040-bb81-916c9fe12f0d | Reentradas=1 | Latência=143ms | Status=sfSucesso | Entrada=00:35:03.276 | ÚltimaExecução=00:35:10.549
ID=e55fd54b-2e6e-4171-b5eb-441e1087afd4 | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:35:07.486 | ÚltimaExecução=00:35:07.634
ID=73e4e7c6-5f2b-4057-abf7-07b81a495803 | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:35:12.335 | ÚltimaExecução=00:35:12.482
ID=5e1672c7-514e-4d98-92a0-8397a9fd1de2 | Reentradas=0 | Latência=227ms | Status=sfSucesso | Entrada=00:34:43.663 | ÚltimaExecução=00:34:43.890
ID=9fb34921-7726-42f4-89fc-d723d5a9a7d9 | Reentradas=0 | Latência=226ms | Status=sfSucesso | Entrada=00:34:41.653 | ÚltimaExecução=00:34:41.879
ID=d5e21178-f339-428f-b87b-ad48cf6f8b27 | Reentradas=0 | Latência=151ms | Status=sfSucesso | Entrada=00:35:13.340 | ÚltimaExecução=00:35:13.490
ID=0384ac57-1fc7-40d0-b85b-08a7076e6afd | Reentradas=0 | Latência=148ms | Status=sfSucesso | Entrada=00:35:15.350 | ÚltimaExecução=00:35:15.498
ID=9f68df04-d724-4626-b294-12cb4e2db2c8 | Reentradas=1 | Latência=147ms | Status=sfSucesso | Entrada=00:35:03.034 | ÚltimaExecução=00:35:10.308
ID=5094cdd5-6738-44cf-a86b-74f6dc2be3f7 | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:35:11.722 | ÚltimaExecução=00:35:11.869
ID=00f780fd-7034-4e67-b168-b5f9015f87c2 | Reentradas=0 | Latência=148ms | Status=sfSucesso | Entrada=00:35:14.345 | ÚltimaExecução=00:35:14.492
ID=f6cf9bdb-fee8-4260-bdf7-fd21d51bb132 | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:35:14.869 | ÚltimaExecução=00:35:15.017
ID=626ad97c-6871-4b7b-993b-28cd10b27745 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:21.002 | ÚltimaExecução=00:35:21.129
ID=4724033f-402d-4395-ba6f-eafdb79058fc | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:34:32.589 | ÚltimaExecução=00:34:32.717
ID=8b203ca0-950e-4a8a-8c66-ac33b7662733 | Reentradas=1 | Latência=128ms | Status=sfSucesso | Entrada=00:34:49.957 | ÚltimaExecução=00:34:55.313
ID=a7a53ef0-7ea8-4b29-9b29-68617723f0ae | Reentradas=1 | Latência=148ms | Status=sfSucesso | Entrada=00:35:01.663 | ÚltimaExecução=00:35:08.937
ID=98e9c799-396d-4601-a98c-757021d78f84 | Reentradas=0 | Latência=129ms | Status=sfSucesso | Entrada=00:34:27.950 | ÚltimaExecução=00:34:28.080
ID=7f146981-7a51-4c6b-9d39-efc36957fd91 | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:35:12.588 | ÚltimaExecução=00:35:12.735
ID=f22e7698-bd64-4e84-9672-df5ac02e4eb5 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:34:28.957 | ÚltimaExecução=00:34:29.084
ID=5cdf64fd-88e5-422c-929f-0ecc71bc9d57 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:16.357 | ÚltimaExecução=00:35:16.484
ID=2906bae7-6946-4319-af11-1198607f70f2 | Reentradas=0 | Latência=228ms | Status=sfSucesso | Entrada=00:34:43.278 | ÚltimaExecução=00:34:43.506
ID=43d28c7f-854b-423d-969a-09deb91f1188 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:20.901 | ÚltimaExecução=00:35:21.028
ID=f59123aa-0530-4560-8814-1a288f7724c1 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:21.906 | ÚltimaExecução=00:35:22.033
ID=f3cf1683-4335-4392-ac03-ced1146eac89 | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:35:15.604 | ÚltimaExecução=00:35:15.751
