ID=126a6b2d-9c2b-4261-877a-bc1cdfc87410 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:03.528 | ÚltimaExecução=01:00:03.534
ID=ba1060ce-e852-4548-91b9-9d02cb107201 | Reentradas=0 | Latência=160ms | Status=sfSalvo | Entrada=01:00:06.015 | ÚltimaExecução=01:00:06.175
ID=8dff0a82-f7a2-4cc0-9bf9-e680c154ee79 | Reentradas=0 | Latência=190ms | Status=sfSalvo | Entrada=01:00:05.452 | ÚltimaExecução=01:00:05.642
ID=a13d9617-5b63-4156-9f7a-fc748cbdf762 | Reentradas=0 | Latência=146ms | Status=sfSalvo | Entrada=00:59:54.874 | ÚltimaExecução=00:59:55.020
ID=c00163b4-c49f-4f97-85d3-61d590f7beae | Reentradas=0 | Latência=114ms | Status=sfSalvo | Entrada=00:59:55.471 | ÚltimaExecução=00:59:55.585
ID=8ccf6d11-6ff6-4b97-a851-507fe2194141 | Reentradas=0 | Latência=10ms | Status=sfSalvo | Entrada=01:00:01.206 | ÚltimaExecução=01:00:01.216
ID=c891ea8d-d57d-4b6d-a959-bc2a4e523166 | Reentradas=0 | Latência=10ms | Status=sfSalvo | Entrada=01:00:02.848 | ÚltimaExecução=01:00:02.858
ID=0cc51734-aa0f-4c34-aff6-7eeb671209e6 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:01.484 | ÚltimaExecução=01:00:01.489
ID=688793a0-8ea6-4b13-a26e-4f3fab2c17c9 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:03.329 | ÚltimaExecução=01:00:03.335
ID=747b542c-8d3a-4e6b-8d28-12ff3479ef30 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:04.009 | ÚltimaExecução=01:00:04.015
ID=10289527-6149-4a4d-87db-a92fe3a0868f | Reentradas=0 | Latência=7ms | Status=sfSalvo | Entrada=01:00:04.773 | ÚltimaExecução=01:00:04.780
ID=4d3fed0f-e1ac-4671-9e44-6de65012a572 | Reentradas=0 | Latência=106ms | Status=sfSalvo | Entrada=01:00:05.254 | ÚltimaExecução=01:00:05.360
ID=270ba461-443b-413b-8355-ec8af99684a2 | Reentradas=0 | Latência=7ms | Status=sfSalvo | Entrada=00:59:57.243 | ÚltimaExecução=00:59:57.250
ID=c53d9282-f5c5-4401-8a23-8a6377193e1f | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:58.078 | ÚltimaExecução=00:59:58.084
ID=7c4f8b73-464f-4b4e-a1be-e500b2b7c7af | Reentradas=0 | Latência=10ms | Status=sfSalvo | Entrada=01:00:01.284 | ÚltimaExecução=01:00:01.294
ID=fabf3d34-9fad-4b20-ada1-3fcb0b374d5c | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:02.892 | ÚltimaExecução=01:00:02.898
ID=8c1b5925-cb8b-4870-a867-47363aa63eba | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:02.608 | ÚltimaExecução=01:00:02.613
ID=e1905499-2729-4caf-850e-b80df8bd7715 | Reentradas=0 | Latência=9ms | Status=sfSalvo | Entrada=00:59:59.080 | ÚltimaExecução=00:59:59.089
ID=a56740e6-f6ad-4910-97b5-1efa126a7afe | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:00.684 | ÚltimaExecução=01:00:00.689
ID=17acff04-1c08-4b64-87b3-ef7d591085bc | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:04.180 | ÚltimaExecução=01:00:04.186
ID=0120368d-e209-4554-afca-c9c7690ac130 | Reentradas=0 | Latência=105ms | Status=sfSalvo | Entrada=01:00:06.495 | ÚltimaExecução=01:00:06.600
ID=36cc8184-1cb7-49d9-b83b-db5085b5f0b4 | Reentradas=0 | Latência=7ms | Status=sfSalvo | Entrada=01:00:04.290 | ÚltimaExecução=01:00:04.297
ID=0be0f780-b71f-485a-9f50-e96a676c988d | Reentradas=0 | Latência=8ms | Status=sfSalvo | Entrada=00:59:59.488 | ÚltimaExecução=00:59:59.496
ID=bce0989b-d74c-4432-879b-1be6581c65c6 | Reentradas=0 | Latência=197ms | Status=sfSalvo | Entrada=01:00:06.509 | ÚltimaExecução=01:00:06.706
ID=f3192249-006c-44ba-b7db-9eec8aab176d | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:03.730 | ÚltimaExecução=01:00:03.736
ID=9533706d-1ba5-4f26-8aef-f4c02ed07fe2 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:57.476 | ÚltimaExecução=00:59:57.482
ID=d80b2d97-f0d8-4683-9017-10a98d562634 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:58.639 | ÚltimaExecução=00:59:58.645
ID=99c93fd5-7651-402c-a536-0269e51bf02c | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:04.610 | ÚltimaExecução=01:00:04.616
ID=39dc1025-68dd-40e4-8140-5004fe75921a | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=00:59:59.801 | ÚltimaExecução=00:59:59.806
ID=5b7145ba-d3a0-4ef8-8745-3be1872ce84f | Reentradas=0 | Latência=10ms | Status=sfSalvo | Entrada=01:00:00.082 | ÚltimaExecução=01:00:00.092
ID=13abaa2f-14a1-4a92-a40f-52018ffc48cc | Reentradas=0 | Latência=9ms | Status=sfSalvo | Entrada=01:00:03.890 | ÚltimaExecução=01:00:03.899
ID=ab2bd233-4deb-4262-9c1e-5623fab950f1 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:02.087 | ÚltimaExecução=01:00:02.092
ID=1b5501c6-aa81-40f9-a62a-3f938dd1edfe | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:04.658 | ÚltimaExecução=01:00:04.663
ID=16cbc90a-2c99-4714-955a-ac122cb53412 | Reentradas=0 | Latência=198ms | Status=sfSalvo | Entrada=01:00:05.374 | ÚltimaExecução=01:00:05.572
ID=5d23febe-9464-4994-afc4-032944e25e88 | Reentradas=0 | Latência=166ms | Status=sfSalvo | Entrada=01:00:05.372 | ÚltimaExecução=01:00:05.538
ID=eed055f0-0caf-4b3a-befa-087360a747d9 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:58.679 | ÚltimaExecução=00:59:58.685
ID=4405e795-b2f3-4c6b-9e62-96ea2a589791 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:56.955 | ÚltimaExecução=00:59:56.961
ID=45ac1c73-b8f7-47d7-9ab3-1f0f54500400 | Reentradas=0 | Latência=10ms | Status=sfSalvo | Entrada=01:00:04.130 | ÚltimaExecução=01:00:04.140
ID=f3e4763b-8bb7-43d7-bd3f-c33422b2f2bf | Reentradas=0 | Latência=9ms | Status=sfSalvo | Entrada=01:00:00.323 | ÚltimaExecução=01:00:00.332
ID=7855f47d-9b5f-4c13-a775-bb3aaed69fa4 | Reentradas=0 | Latência=189ms | Status=sfSalvo | Entrada=01:00:05.823 | ÚltimaExecução=01:00:06.012
ID=27c0d28a-ece3-4573-b1c3-be78cdaf90bf | Reentradas=0 | Latência=185ms | Status=sfSalvo | Entrada=01:00:06.456 | ÚltimaExecução=01:00:06.641
ID=ea750ab0-6019-4f60-9f09-f2ccdbb01193 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=00:59:58.037 | ÚltimaExecução=00:59:58.042
ID=75aac8a1-a3df-41eb-abe8-c83ccddbc1f4 | Reentradas=0 | Latência=116ms | Status=sfSalvo | Entrada=00:59:55.832 | ÚltimaExecução=00:59:55.948
ID=6191f645-7d12-4daf-b598-36c149756aad | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:57.800 | ÚltimaExecução=00:59:57.806
ID=34c7760d-f358-4745-8dc1-91b714977872 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:56.473 | ÚltimaExecução=00:59:56.479
ID=63641aae-dc05-4de7-8139-203c269864ff | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:02.246 | ÚltimaExecução=01:00:02.252
ID=ec3e8cb9-9691-41e0-8ebe-35b03788e193 | Reentradas=0 | Latência=9ms | Status=sfSalvo | Entrada=01:00:03.048 | ÚltimaExecução=01:00:03.057
ID=7faf2768-7b0c-4637-8347-eafa200427c7 | Reentradas=0 | Latência=201ms | Status=sfSalvo | Entrada=01:00:05.492 | ÚltimaExecução=01:00:05.693
ID=ad68ce3b-f704-4701-8239-49ee32f1f6bf | Reentradas=0 | Latência=121ms | Status=sfSalvo | Entrada=01:00:05.509 | ÚltimaExecução=01:00:05.630
ID=22ed2102-1cbd-4da8-935e-6efc045b4eff | Reentradas=0 | Latência=190ms | Status=sfSalvo | Entrada=01:00:06.094 | ÚltimaExecução=01:00:06.284
ID=2ff7636e-32ab-45b7-a971-9e998f3d6de9 | Reentradas=0 | Latência=128ms | Status=sfSalvo | Entrada=01:00:06.375 | ÚltimaExecução=01:00:06.503
ID=a6d6031b-6431-4a5a-a34d-9ca26fe95cc3 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:57.155 | ÚltimaExecução=00:59:57.161
ID=72a487b8-4a47-46f0-9713-73cdb4371e3f | Reentradas=0 | Latência=209ms | Status=sfSalvo | Entrada=01:00:05.695 | ÚltimaExecução=01:00:05.904
ID=84100acd-5184-4f08-8c49-5aa34d48de02 | Reentradas=0 | Latência=12ms | Status=sfSalvo | Entrada=01:00:02.326 | ÚltimaExecução=01:00:02.338
ID=9f10e986-66f0-4a07-baa5-84bb4f70e6f5 | Reentradas=0 | Latência=7ms | Status=sfSalvo | Entrada=00:59:57.677 | ÚltimaExecução=00:59:57.684
ID=4d14bb5f-3ec4-421c-b57d-7c1493552a97 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:59.921 | ÚltimaExecução=00:59:59.927
ID=d828ef69-130e-46aa-af42-655b068f775c | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:02.728 | ÚltimaExecução=01:00:02.733
ID=9be3469f-9222-4841-aed2-e42d848632c5 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:01.926 | ÚltimaExecução=01:00:01.932
ID=28bb6311-27c8-4af3-a4a0-8555c3e5540e | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=01:00:03.208 | ÚltimaExecução=01:00:03.214
ID=a3b20003-4d0e-4bce-91c5-0745f7f78362 | Reentradas=0 | Latência=7ms | Status=sfSalvo | Entrada=01:00:04.050 | ÚltimaExecução=01:00:04.057
ID=32c3cd56-cf0a-4cc9-a673-9544fffe8e9d | Reentradas=0 | Latência=104ms | Status=sfSalvo | Entrada=01:00:04.893 | ÚltimaExecução=01:00:04.997
ID=f91a715d-fbb2-4d3c-ae07-5b0000616673 | Reentradas=0 | Latência=7ms | Status=sfSalvo | Entrada=01:00:04.490 | ÚltimaExecução=01:00:04.497
ID=9c4cf43c-c9f4-4851-aa4a-cbe9fefa5529 | Reentradas=0 | Latência=189ms | Status=sfSalvo | Entrada=01:00:04.970 | ÚltimaExecução=01:00:05.159
ID=296d4f92-ed23-4587-94e0-60d4d4fd6b40 | Reentradas=0 | Latência=105ms | Status=sfSalvo | Entrada=01:00:05.013 | ÚltimaExecução=01:00:05.118
ID=6425982c-79f1-478d-a802-44a764b47967 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:55.993 | ÚltimaExecução=00:59:55.999
ID=49938159-acee-4160-a73c-cc22819cfa6d | Reentradas=0 | Latência=190ms | Status=sfSalvo | Entrada=01:00:05.293 | ÚltimaExecução=01:00:05.483
ID=6d8fd582-dfbd-475d-8ac1-e8c3454d7c7f | Reentradas=0 | Latência=105ms | Status=sfSalvo | Entrada=01:00:05.855 | ÚltimaExecução=01:00:05.960
ID=ad79f16a-fb05-4f2b-a4c5-271ab727011e | Reentradas=0 | Latência=178ms | Status=sfSalvo | Entrada=01:00:06.214 | ÚltimaExecução=01:00:06.392
ID=a32e6055-2fb9-4926-a5b6-20a61bdad323 | Reentradas=0 | Latência=173ms | Status=sfSalvo | Entrada=01:00:06.256 | ÚltimaExecução=01:00:06.429
ID=acf106dd-2bf5-440e-8ee0-eb96f2c9be47 | Reentradas=0 | Latência=9ms | Status=sfSalvo | Entrada=01:00:04.252 | ÚltimaExecução=01:00:04.261
ID=b955cbd8-b3ae-4535-802f-9da59c830325 | Reentradas=0 | Latência=6ms | Status=sfSalvo | Entrada=00:59:58.439 | ÚltimaExecução=00:59:58.445
ID=3c55248d-4594-465e-9cfe-8782d68555fb | Reentradas=0 | Latência=7ms | Status=sfSalvo | Entrada=01:00:00.002 | ÚltimaExecução=01:00:00.009
ID=4837e863-ce9c-47d4-a12f-b029567b1396 | Reentradas=0 | Latência=5ms | Status=sfSalvo | Entrada=01:00:02.367 | ÚltimaExecução=01:00:02.372
